Gender,Duration (s),RMS Energy,ZCR (Zero Crossing Rate),Spectral Centroid,Spectral Bandwidth,Spectral Rolloff,Pitch (Fundamental Frequency),MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20
Female,1.8458125,0.05517446,0.1263890759698276,1728.8188080401503,1760.5019228579952,3702.3168103448274,172.4654301359488,-355.0199279785156,78.37435150146484,-13.44454288482666,-6.828075408935547,-13.090304374694824,-18.515853881835938,-17.4418888092041,-12.519115447998047,-10.52890682220459,2.3424763679504395,-16.094860076904297,0.4131883978843689,-25.29572296142578,-14.495452880859375,-9.284415245056152,-6.69703483581543,-5.183339595794678,-6.521402359008789,-7.641575336456299,-3.22379994392395
Female,1.8458125,0.054446932,0.1357842807112069,1939.3682376818065,1945.4389622322649,4160.290948275862,146.414329153039,-342.330810546875,68.705810546875,-3.1975319385528564,2.7458224296569824,-4.59217643737793,-3.9913971424102783,-1.7689425945281982,-3.776491403579712,-9.083677291870117,-1.4585129022598267,-17.854106903076172,1.4868104457855225,-21.945030212402344,-14.473715782165527,-15.689664840698242,-4.96807336807251,0.7744039297103882,-4.763672351837158,-15.13980770111084,-3.65274977684021
Female,1.8458125,0.06003981,0.10059435614224138,1721.8274932964762,1841.332345554636,3758.4859913793102,160.97305426043684,-349.20013427734375,72.19581604003906,-5.853235244750977,0.6786518692970276,-5.84960412979126,-10.332425117492676,-5.029846668243408,-6.003738880157471,-11.109557151794434,-4.186717987060547,-20.61720085144043,-4.184869766235352,-22.325258255004883,-18.806547164916992,-13.867011070251465,-5.095343112945557,-0.4810597896575928,-6.383139133453369,-10.073251724243164,-1.6984117031097412
Female,1.8458125,0.059336074,0.10288422683189655,1794.601285957449,1852.980941871529,3802.532327586207,157.91206980484466,-344.9905700683594,67.46900939941406,-6.08799934387207,4.8506693840026855,-4.231630802154541,-3.14654541015625,-2.614199638366699,-3.486647844314575,-5.690717697143555,-3.529573440551758,-19.36212921142578,-2.331761360168457,-20.996707916259766,-12.923645973205566,-18.0391845703125,-7.21418571472168,-4.432770252227783,-7.408559322357178,-10.538276672363281,-4.256251335144043
Female,1.8458125,0.053583,0.11565530711206896,1575.8454662649538,1659.2088580730265,3220.905172413793,203.45959918192915,-370.39581298828125,78.40232849121094,-14.47891902923584,-2.0505661964416504,-7.677850246429443,-18.732681274414062,-12.93319320678711,-8.917887687683105,-8.046701431274414,-2.2286133766174316,-17.522489547729492,-3.8991341590881348,-24.365755081176758,-15.312294960021973,-16.541519165039062,-1.2313613891601562,-0.5409824252128601,-9.7001953125,-14.499061584472656,-3.891606569290161
Female,1.8458125,0.060759436,0.09401939655172414,1629.9061882304568,1742.063787791284,3451.5086206896553,181.09112435173935,-348.69049072265625,69.92849731445312,-10.146807670593262,7.201277732849121,-1.7223163843154907,-10.883211135864258,-11.526628494262695,-10.14383602142334,-8.327640533447266,-3.32694673538208,-15.445627212524414,-5.067286014556885,-21.66742706298828,-13.778524398803711,-15.061511039733887,-6.9759626388549805,-7.309732437133789,-8.545513153076172,-7.863237380981445,-3.0810587406158447
Female,1.8458125,0.06517381,0.10133519665948276,1598.2881512987858,1794.5061886641765,3388.739224137931,152.93893868084018,-340.8600158691406,77.93722534179688,-1.552385687828064,5.316564083099365,-2.889427423477173,-9.660780906677246,-4.078425884246826,-10.183686256408691,-9.53213119506836,-4.591224193572998,-14.173332214355469,-2.7843995094299316,-21.259363174438477,-13.242504119873047,-18.122745513916016,-2.747384786605835,-3.1731865406036377,-6.831690311431885,-7.9970383644104,-6.630050182342529
Female,2.0620625,0.06188775,0.16056941105769232,1966.652501074221,1683.0574089398638,3903.966346153846,185.6505350619413,-346.05877685546875,64.89086151123047,-35.16102981567383,0.3629465103149414,-4.394561290740967,-22.649036407470703,-24.348814010620117,-1.679973840713501,-3.4029083251953125,-10.64011001586914,-18.08892250061035,1.1479943990707397,-18.73832893371582,-15.898185729980469,-7.280043125152588,-7.136384010314941,1.3352627754211426,-3.4186501502990723,-9.11534595489502,-4.360609531402588
Female,2.0620625,0.0648734,0.17110877403846153,2089.481594116606,1786.1427996916425,4132.211538461538,162.60581862017568,-337.3157653808594,61.25242233276367,-29.791414260864258,4.328623294830322,1.1889870166778564,-14.754920959472656,-22.039939880371094,0.08366138488054276,-5.910140514373779,-14.176210403442383,-17.936662673950195,-3.8351902961730957,-18.113807678222656,-17.530574798583984,-7.927170753479004,-6.619078636169434,-7.735428810119629,-4.878817558288574,-9.33987045288086,1.8526064157485962
Female,2.0620625,0.06771085,0.13592247596153847,1878.2860808099656,1766.7158705654986,3848.3173076923076,162.3463422111662,-340.2440490722656,68.74877166748047,-21.82888412475586,15.089366912841797,1.704966425895691,-21.478878021240234,-15.32375431060791,1.5265367031097412,-4.5725417137146,-15.383712768554688,-23.501239776611328,-8.971065521240234,-22.250228881835938,-18.933652877807617,-9.79429817199707,-5.736377716064453,-4.635359287261963,-7.662022113800049,-12.539400100708008,-1.8472588062286377
